Designator,Mid X,Mid Y,Rotation,Layer
C1,205.244,-120.142,180.0,bottom
C10,152.01,-155.067,0.0,top
C101,127.508,-143.002,0.0,bottom
C11,151.511,-150.368,0.0,top
C110,164.465,-151.257,90.0,bottom
C16,162.687,-116.84,0.0,top
C17,163.842,-124.714,180.0,bottom
C18,164.084,-144.907,180.0,bottom
C2,206.7465,-128.524,180.0,bottom
C20,177.8,-120.142,180.0,bottom
C21,178.0445,-124.968,180.0,bottom
C22,177.939,-144.907,180.0,bottom
C3,205.232,-144.907,180.0,bottom
C32,144.7705,-118.364,0.0,bottom
C34,151.099,-132.715,0.0,top
C5,191.897,-120.142,180.0,bottom
C541,146.177,-115.824,0.0,top
C6,191.897,-124.968,180.0,bottom
C7,191.77,-144.907,180.0,bottom
CN1,104.902,-163.576,90.0,top
E666,157.48,-157.099,90.0,top
FB101,159.639,-156.718,270.0,top
R201,163.1855,-139.954,90.0,bottom
R202,165.0905,-139.954,90.0,bottom
RP201,154.7155,-143.453,90.0,bottom
RP201.5,154.2955,-127.508,90.0,bottom
RP202,154.7155,-148.825,90.0,bottom
RP203,165.5985,-119.634,90.0,bottom
RP903,168.314,-116.021,270.0,top
RP910,150.1685,-149.226,90.0,bottom
RP910.10,149.5965,-120.396,270.0,bottom
RP910.9,152.3905,-127.508,90.0,bottom
RP916,172.9618,-140.6774,180.0,bottom
U1,205.6835,-130.937,0.0,top
U101,119.8785,-148.082,180.0,top
U16,164.0745,-130.937,0.0,top
U20,177.9175,-130.937,0.0,top
U32,144.5165,-124.714,0.0,bottom
U34,147.0305,-140.589,0.0,top
U35,146.9555,-123.571,0.0,top
U5,191.7605,-130.937,0.0,top
X1,164.465,-155.914,0.0,top
